id,class_id,sentence,partition,labels,lang
46,TestSaveNamespace.java,li recover from failure while rolling edits file li,0,expand,JAVA
47,BatchedRequests.java,the placement algorithm tends to give more optimal,1,expand,JAVA
48,TestSaveNamespace.java,ol,0,expand,JAVA
49,BatchedRequests.java,placements if more requests are batched together.,1,expand,JAVA
50,BatchedRequests.java,placementalgorithmoutput attempt the number of times the requests in this,0,usage,JAVA
51,KerberosDelegationTokenAuthenticator.java,it falls back to the @link pseudodelegationtokenauthenticator if the http,1,expand;pointer,JAVA
52,KerberosDelegationTokenAuthenticator.java,endpoint does not trigger a spnego authentication,0,expand;pointer,JAVA
53,BlocksMap.java,block s metadata currently includes blockcollection it belongs to and,1,expand,JAVA
54,BlocksMap.java,the datanodes that store the block.,0,expand,JAVA
55,LoggedTask.java,"it knows about the pssibly empty sequence of attempts, its i o footprint,",1,expand,JAVA
56,LoggedTask.java,and its runtime.,0,expand,JAVA
57,TestSwiftFileSystemContract.java,some of the tests override the base class tests these,1,rational,JAVA
58,LoggedTask.java,all of the public methods are simply accessors for the instance variables we,0,usage,JAVA
59,TestSwiftFileSystemContract.java,"are where swiftfs does not implement those features, or",1,rational,JAVA
60,LoggedTask.java,want to write out in the json files.,0,usage,JAVA
61,TestSwiftFileSystemContract.java,when the behavior of swiftfs does not match the normal,1,rational,JAVA
62,TestSwiftFileSystemContract.java,contract which normally means that directories and equal files,0,rational,JAVA
63,TestSwiftFileSystemContract.java,are being treated as equal.,1,rational,JAVA
64,CapacitySchedulerPlanFollower.java,"this implementation does so, by",0,expand,JAVA
65,LogWebService.java,support only atsv2 client only.,1,deprecation,JAVA
66,CapacitySchedulerPlanFollower.java,"adding removing resizing leaf queues in the scheduler, thus affecting the",0,expand,JAVA
67,CapacitySchedulerPlanFollower.java,dynamic behavior of the scheduler in a way that is consistent with the,1,expand,JAVA
68,TestTaskCommit.java,the framework s fileoutputcommitter cleans up any temporary,0,rational,JAVA
69,CapacitySchedulerPlanFollower.java,content of the plan.,1,expand,JAVA
70,CapacitySchedulerPlanFollower.java,it also updates the plan s view on how much resources,0,expand,JAVA
71,TestTaskCommit.java,we want the test case to,1,rational,JAVA
72,CapacitySchedulerPlanFollower.java,are available in the cluster.,0,expand,JAVA
73,CapacitySchedulerPlanFollower.java,"this implementation of planfollower is relatively stateless, and it can",1,rational,JAVA
74,MapContext.java,@param keyin the key input type to the mapper,0,usage,JAVA
75,TestTaskCommit.java,special committer that always requires commit.,1,usage,JAVA
76,CapacitySchedulerPlanFollower.java,synchronize schedulers and plans that have arbitrary changes performing set,0,rational,JAVA
77,MapContext.java,@param valuein the value input type to the mapper,1,usage,JAVA
78,CapacitySchedulerPlanFollower.java,differences among existing queues .,0,rational,JAVA
79,MapContext.java,@param keyout the key output type from the mapper,1,usage,JAVA
80,CapacitySchedulerPlanFollower.java,this makes it resilient to frequency of,0,rational,JAVA
81,MapContext.java,@param valueout the value output type from the mapper,1,usage,JAVA
82,CapacitySchedulerPlanFollower.java,"synchronization, and rm restart issues no catch up is necessary .",0,rational,JAVA
83,MetricsCache.java,cached record,1,expand,JAVA
84,TestUpgradeDomainBlockPlacementPolicy.java,the test configs upgrade domain for nodes via admin json,0,expand,JAVA
85,TestUpgradeDomainBlockPlacementPolicy.java,config file and put some nodes to decommission state.,1,expand,JAVA
86,TestUpgradeDomainBlockPlacementPolicy.java,the test then verifies replicas are placed on the nodes that,0,expand,JAVA
87,TestUpgradeDomainBlockPlacementPolicy.java,satisfy the upgrade domain policy.,1,expand,JAVA
88,NativeBatchProcessor.java,"used to create channel, transfer data and command between java and native",0,rational,JAVA
89,NativeSingleLineParser.java,p the expected log format is normalizedjobname numinstances submittime,1,expand,JAVA
90,NativeSingleLineParser.java,starttime endtime jobinstancename memusage coreusage,0,expand,JAVA
91,Classpath.java,the output likely will include wildcards in the classpath.,1,expand,JAVA
92,TextInputFormat.java,either linefeed or carriage return are used to signal end of line.,0,expand,JAVA
93,TextInputFormat.java,.,1,expand,JAVA
94,Classpath.java,this is useful in situations where wildcard syntax isn t usable.,0,expand,JAVA
95,Classpath.java,"with the jar argument, it writes the classpath as a manifest in a jar file.",1,expand,JAVA
96,Node2ObjectsMap.java,this information is built from the dn container reports.,0,expand,JAVA
97,TimelineDataToRetrieve.java,ul,1,expand;pointer,JAVA
98,TimelineDataToRetrieve.java,li b confstoretrieve b used for deciding which configs to return,0,pointer,JAVA
99,TimelineDataToRetrieve.java,in response.,1,expand;pointer,JAVA
100,TimelineDataToRetrieve.java,this is represented as a @link timelinefilterlist object,0,pointer,JAVA
101,TimelineDataToRetrieve.java,containing @link timelineprefixfilter objects.,1,pointer,JAVA
102,TimelineDataToRetrieve.java,these can either be,0,expand;pointer,JAVA
103,ComparableVersion.java,code source of this file http grepcode^com file repo1^maven.org maven2 org^apache.maven maven artifact 31.1 org apache maven artifact versioning comparableversion^java modifications made on top of the source 1.,1,pointer,JAVA
104,TimelineDataToRetrieve.java,exact config keys or prefixes which are then compared against config,0,expand;pointer,JAVA
105,ComparableVersion.java,changed package org^apache.maven^artifact.versioning to package org^apache.hadoop^util 2.,1,pointer,JAVA
106,TimelineDataToRetrieve.java,"or empty, all configurations will be fetched if fieldstoretrieve",0,expand;pointer,JAVA
107,ComparableVersion.java,p features,1,usage,JAVA
108,TimelineDataToRetrieve.java,contains @link field#configs or @link field#all .,0,pointer,JAVA
109,ComparableVersion.java,ul,1,usage,JAVA
110,TimelineDataToRetrieve.java,confused with configfilters which is used to decide which entities to,0,expand;pointer,JAVA
111,TimelineDataToRetrieve.java,return instead.,1,expand;pointer,JAVA
112,TimelineDataToRetrieve.java,li,0,expand;pointer,JAVA
113,OzoneObj.java,ozone objects supported for acl.,1,expand,JAVA
114,OzoneObj.java,ozone objects supported for acl.,0,expand,JAVA
115,TimelineDataToRetrieve.java,in response.,1,expand;pointer,JAVA
116,TimelineDataToRetrieve.java,this is represented as a @link timelinefilterlist object,0,pointer,JAVA
117,TimelineDataToRetrieve.java,containing @link timelineprefixfilter objects.,1,pointer,JAVA
118,TimelineDataToRetrieve.java,these can either be,0,expand;pointer,JAVA
119,TimelineDataToRetrieve.java,exact metric ids or prefixes which are then compared against metric,1,expand;pointer,JAVA
120,PartialOutputCommitter.java,interface for an @link org^apache.hadoop^mapreduce.outputcommitter,0,pointer,JAVA
121,ComparableVersion.java,li code milestone code or code m code li,1,usage,JAVA
122,ComparableVersion.java,li code rc code or code cr code li,0,usage,JAVA
123,TimelineDataToRetrieve.java,"or empty, all metrics will be fetched if fieldstoretrieve contains",1,expand;pointer,JAVA
124,ComparableVersion.java,li code snapshot code li,0,usage,JAVA
125,ComparableVersion.java,li code the empty string code or code ga code or code final code li,1,usage,JAVA
126,ComparableVersion.java,li code sp code li,0,usage,JAVA
127,TimelineDataToRetrieve.java,with metricfilters which is used to decide which entities to return,1,expand;pointer,JAVA
128,ComparableVersion.java,ul,0,usage,JAVA
129,TimelineDataToRetrieve.java,instead.,1,expand;pointer,JAVA
130,ComparableVersion.java,"unknown qualifiers are considered after known qualifiers, with lexical order always case insensitive ,",0,usage,JAVA
131,TimelineDataToRetrieve.java,li,1,expand;pointer,JAVA
132,ComparableVersion.java,li,0,usage,JAVA
133,ComparableVersion.java,li,1,usage,JAVA
134,TimelineDataToRetrieve.java,"namely entity id, entity type and entity created time.",0,expand;pointer,JAVA
135,ComparableVersion.java,@see a href https cwiki^apache.org confluence display mavenold versioning versioning on maven wiki a,1,pointer,JAVA
136,TimelineDataToRetrieve.java,all fields will,0,expand;pointer,JAVA
137,QuasiMonteCarlo.java,using a quasi monte carlo qmc method.,0,expand,JAVA
138,QuasiMonteCarlo.java,arbitrary integrals can be approximated numerically by qmc methods.,0,expand,JAVA
139,TimelineDataToRetrieve.java,li,0,expand;pointer,JAVA
140,QuasiMonteCarlo.java,"in this example,",0,pointer;usage,JAVA
141,QuasiMonteCarlo.java,"we use a qmc method to approximate the integral i int s f x dx ,",0,pointer;usage,JAVA
142,QuasiMonteCarlo.java,"where s 0,1 ^2 is a unit square,",0,usage,JAVA
143,TimelineDataToRetrieve.java,number of metrics to return.,0,expand;pointer,JAVA
144,QuasiMonteCarlo.java,"x x 1,x 2 is a 2 dimensional point,",0,usage,JAVA
145,TimelineDataToRetrieve.java,this parameter is ignored if metrics are not to,0,expand;pointer,JAVA
146,QuasiMonteCarlo.java,"and f is a function describing the inscribed circle of the square s ,",0,usage,JAVA
147,TimelineDataToRetrieve.java,be fetched.,0,expand;pointer,JAVA
148,QuasiMonteCarlo.java,"f x 1 if 2x 1 1 ^2 2x 2 1 ^2 &lt 1 and f x 0 , otherwise.",0,usage,JAVA
149,TimelineDataToRetrieve.java,li,0,expand;pointer,JAVA
150,QuasiMonteCarlo.java,it is easy to see that pi is equal to 4i .,0,usage,JAVA
151,QuasiMonteCarlo.java,so an approximation of pi is obtained once i is evaluated numerically.,0,usage,JAVA
152,TimelineDataToRetrieve.java,be retrieved.,0,expand;pointer,JAVA
153,QuasiMonteCarlo.java,there are better methods for computing pi.,0,expand;usage,JAVA
154,QuasiMonteCarlo.java,we emphasize numerical approximation of arbitrary integrals in this example.,0,expand;usage,JAVA
155,TimelineDataToRetrieve.java,li,0,expand;pointer,JAVA
156,QuasiMonteCarlo.java,"for computing many digits of pi, consider using bbp.",0,expand;usage,JAVA
157,QuasiMonteCarlo.java,the implementation is discussed below.,0,expand,JAVA
158,TimelineDataToRetrieve.java,be retrieved.,0,expand;pointer,JAVA
159,QuasiMonteCarlo.java,mapper,0,expand,JAVA
160,QuasiMonteCarlo.java,generate points in a unit square,0,expand,JAVA
161,TimelineDataToRetrieve.java,li,0,expand;pointer,JAVA
162,QuasiMonteCarlo.java,and then count points inside outside of the inscribed circle of the square.,0,expand,JAVA
163,TimelineDataToRetrieve.java,ul,0,expand;pointer,JAVA
164,QuasiMonteCarlo.java,reducer,0,expand,JAVA
165,QuasiMonteCarlo.java,generate points in a unit square,0,expand,JAVA
166,QuasiMonteCarlo.java,and then count points inside outside of the inscribed circle of the square.,0,expand,JAVA
167,DBProfile.java,documentation for options.,0,pointer;usage,JAVA
168,DBProfile.java,p,0,pointer;usage,JAVA
169,DBProfile.java,https github^com facebook rocksdb blob master include rocksdb options^h,0,pointer;usage,JAVA
170,DBProfile.java,p,0,pointer;usage,JAVA
171,DBProfile.java,most tuning parameters are based on this url.,0,pointer;usage,JAVA
172,DBProfile.java,p,0,pointer;usage,JAVA
173,DBProfile.java,https github^com facebook rocksdb wiki setup options and basic tuning,0,pointer;usage,JAVA
174,Query.java,the query is usually a partial record.,0,expand,JAVA
175,Query.java,@param t type of the record to query.,0,pointer,JAVA
176,RandomKeyGenerator.java,wrapper to hold ozone keyvalidate entry.,0,expand,JAVA
177,RandomKeyGenerator.java,validates the write done in ozone cluster.,0,expand,JAVA
178,DelegatingSSLSocketFactory.java,"specifically, either openssl or jsse can be used.",0,expand,JAVA
179,DelegatingSSLSocketFactory.java,openssl offers better,0,expand;pointer,JAVA
180,DelegatingSSLSocketFactory.java,performance than jsse and is made available via the,0,expand;pointer,JAVA
181,DelegatingSSLSocketFactory.java,a href https github^com wildfly wildfly openssl wildlfy openssl a,0,expand;pointer,JAVA
182,DelegatingSSLSocketFactory.java,library.,0,expand;pointer;usage,JAVA
183,DelegatingSSLSocketFactory.java,p,0,rational;usage,JAVA
184,ReencryptionUpdater.java,p,0,expand,JAVA
185,DelegatingSSLSocketFactory.java,the factory has several different modes of operation,0,usage,JAVA
186,DelegatingSSLSocketFactory.java,ul,0,usage,JAVA
187,ReencryptionUpdater.java,p,0,expand,JAVA
188,DelegatingSSLSocketFactory.java,li openssl uses the wildly openssl library to delegate to the,0,usage,JAVA
189,DelegatingSSLSocketFactory.java,system installed openssl.,0,usage,JAVA
190,DelegatingSSLSocketFactory.java,if the wildfly openssl integration is not,0,usage,JAVA
191,DelegatingSSLSocketFactory.java,"properly setup, an exception is thrown.",0,usage,JAVA
192,ReencryptionUpdater.java,class to track re encryption submissions of a single zone.,0,expand,JAVA
193,DelegatingSSLSocketFactory.java,li,0,usage,JAVA
194,ReencryptionUpdater.java,processed.,0,expand,JAVA
195,DelegatingSSLSocketFactory.java,li,0,usage,JAVA
196,DelegatingSSLSocketFactory.java,it disables the gcm cipher when running on java 8.,0,usage,JAVA
197,DelegatingSSLSocketFactory.java,li,0,usage,JAVA
198,DelegatingSSLSocketFactory.java,li,0,usage,JAVA
199,DelegatingSSLSocketFactory.java,ul,0,usage,JAVA
200,DelegatingSSLSocketFactory.java,p,0,rational;usage,JAVA
201,DelegatingSSLSocketFactory.java,p,0,rational;usage,JAVA
202,DelegatingSSLSocketFactory.java,default jsse is not truly the the default jsse implementation because,0,rational;usage,JAVA
203,DelegatingSSLSocketFactory.java,the gcm cipher is disabled when running on java 8.,0,rational,JAVA
204,DelegatingSSLSocketFactory.java,"however, the name",0,rational,JAVA
205,DelegatingSSLSocketFactory.java,was not changed in order to preserve backwards compatibility.,0,rational;usage,JAVA
206,DelegatingSSLSocketFactory.java,"instead,",0,rational,JAVA
207,DelegatingSSLSocketFactory.java,a new mode called default jsse with gcm delegates to the default jsse,0,rational;usage,JAVA
208,DelegatingSSLSocketFactory.java,implementation with no changes to the list of enabled ciphers.,0,rational;usage,JAVA
209,DelegatingSSLSocketFactory.java,p,0,rational;usage,JAVA
210,RegistryInternalConstants.java,these are the things which aren t visible to users.,0,rational,JAVA
211,ResourceBlacklistRequest.java,@see resourcerequest,0,pointer,JAVA
212,ResourceBlacklistRequest.java,@see applicationmasterprotocol#allocate org^apache.hadoop^yarn.api^protocolrecords.allocaterequest,0,pointer,JAVA
213,TypedEvent.java,@param t,0,usage,JAVA
214,ResourceRequestsJsonVerifications.java,with the help of the,0,expand;pointer,JAVA
215,ResourceRequestsJsonVerifications.java,"@link builder , users can also make verifications of the custom resource",0,expand;pointer,JAVA
216,ResourceRequestsJsonVerifications.java,types and its values.,0,expand;pointer,JAVA
217,UniformSizeInputFormat.java,it looks at the copy listing and groups the contents into input splits such,0,expand,JAVA
218,UniformSizeInputFormat.java,that the total number of bytes to be copied for each input split is,0,expand,JAVA
219,UniformSizeInputFormat.java,uniform.,0,expand,JAVA
220,Utils.java,this class filters output part files from the given directory,0,expand;usage,JAVA
221,Utils.java,it does not accept files with filenames logs and success.,0,expand;usage,JAVA
222,Utils.java,this can be used to list paths of output directory as follows,0,usage,JAVA
223,Utils.java,"path filelist fileutil^stat2paths fs^liststatus outdir,",0,usage,JAVA
224,Utils.java,new outputfilesfilter,0,usage,JAVA
225,Utils.java,this class filters log files from directory given,0,expand;usage,JAVA
226,Utils.java,it doesnt accept paths having logs.,0,expand;usage,JAVA
227,Utils.java,this can be used to list paths of output directory as follows,0,usage,JAVA
228,Utils.java,"path filelist fileutil^stat2paths fs^liststatus outdir,",0,usage,JAVA
229,Utils.java,new outputlogfilter,0,usage,JAVA
230,SafeModeException.java,client cannot modified namespace until the safe mode is off.,0,usage,JAVA
231,DiskBalancerCluster.java,p,0,expand,JAVA
232,DiskBalancerCluster.java,please note,0,expand,JAVA
233,DiskBalancerCluster.java,semantics of inclusionlist and exclusionlists.,0,expand,JAVA
234,DiskBalancerCluster.java,p,0,expand,JAVA
235,DiskBalancerCluster.java,if a non empty inclusionlist is specified then the diskbalancer assumes that,0,expand,JAVA
236,DiskBalancerCluster.java,the user is only interested in processing that list of nodes.,0,expand,JAVA
237,DiskBalancerCluster.java,this node list,0,expand,JAVA
238,DiskBalancerCluster.java,is checked against the exclusionlist and only the nodes in inclusionlist but,0,expand,JAVA
239,DiskBalancerCluster.java,not in exclusionlist is processed.,0,expand,JAVA
240,DiskBalancerCluster.java,p,0,expand,JAVA
241,DiskBalancerCluster.java,"if inclusionlist is empty, then we assume that all live nodes in the nodes is",0,expand,JAVA
242,DiskBalancerCluster.java,to be processed by diskbalancer.,0,expand,JAVA
243,DiskBalancerCluster.java,in that case diskbalancer will avoid any,0,expand,JAVA
244,DiskBalancerCluster.java,nodes specified in the exclusionlist but will process all nodes in the,0,expand,JAVA
245,DiskBalancerCluster.java,cluster.,0,expand,JAVA
246,DiskBalancerCluster.java,p,0,expand,JAVA
247,WritableComparator.java,p this base implementation uses the natural ordering.,0,expand;pointer;usage,JAVA
248,DiskBalancerCluster.java,"in other words, an empty inclusionlist is means all the nodes otherwise",0,expand,JAVA
249,WritableComparator.java,to define alternate,0,expand;pointer;usage,JAVA
250,DiskBalancerCluster.java,only a given list is processed and exclusionlist is always honored.,0,expand,JAVA
251,WritableComparator.java,"orderings, override @link #compare writablecomparable,writablecomparable .",0,expand;pointer;usage,JAVA
252,WritableComparator.java,p one may optimize compare intensive operations by overriding,0,pointer;usage,JAVA
253,WritableComparator.java,"@link #compare byte ,int,int,byte ,int,int .",0,pointer;usage,JAVA
254,WritableComparator.java,static utility methods are,0,pointer;usage,JAVA
255,WritableComparator.java,provided to assist in optimized implementations of this method.,0,pointer;usage,JAVA
256,StreamBaseRecordReader.java,a custom reader can be,0,usage,JAVA
257,StreamBaseRecordReader.java,defined to be a recordreader with the constructor below and is selected with,0,usage,JAVA
258,StreamBaseRecordReader.java,the option bin hadoopstreaming inputreader .,0,usage,JAVA
259,StreamBaseRecordReader.java,@see streamxmlrecordreader,0,pointer,JAVA
260,StructureGenerator.java,constraints,0,expand,JAVA
261,StructureGenerator.java,1,0,expand,JAVA
262,StructureGenerator.java,"the number of subdirectories is a random number in minwidth, maxwidth .",0,expand,JAVA
263,StructureGenerator.java,2,0,expand,JAVA
264,StructureGenerator.java,"the maximum depth of each subdirectory is a random number 2 maxdepth 3, maxdepth .",0,expand,JAVA
265,StructureGenerator.java,3,0,expand,JAVA
266,StructureGenerator.java,files are randomly placed in the empty directories.,0,expand,JAVA
267,StructureGenerator.java,the size of each,0,expand,JAVA
268,StructureGenerator.java,file follows gaussian distribution.,0,expand,JAVA
269,StructureGenerator.java,the generated namespace structure is described by two files in the output,0,expand,JAVA
270,StructureGenerator.java,directory.,0,expand,JAVA
271,YarnAuthorizationProvider.java,it is excepted that any of the,0,expand;rational,JAVA
272,YarnAuthorizationProvider.java,methods defined in this interface should be non blocking call and should not,0,expand;rational,JAVA
273,StructureGenerator.java,each line of the second file contains,0,expand,JAVA
274,YarnAuthorizationProvider.java,involve expensive computation as these method could be invoked in rpc.,0,expand;rational,JAVA
275,StructureGenerator.java,"the full name of a file and its size, separated by a blank.",0,expand,JAVA
276,StructureGenerator.java,the synopsis of the command is,0,usage,JAVA
277,EditLogTailer.java,the thread which does the actual work of tailing edits journals and,0,expand,JAVA
278,StructureGenerator.java,java structuregenerator,0,usage,JAVA
279,EditLogTailer.java,applying the transactions to the fsns.,0,expand,JAVA
280,StructureGenerator.java,maxdepth maxdepth maximum depth of the directory tree default is 5.,0,usage,JAVA
281,EditLogTailer.java,manage the active namenode proxy .,0,rational,JAVA
282,StructureGenerator.java,minwidth minwidth minimum number of subdirectories per directories default is 1,0,usage,JAVA
283,EditLogTailer.java,this cannot just be the a single proxy since we could,0,rational,JAVA
284,StructureGenerator.java,maxwidth maxwidth maximum number of subdirectories per directories default is 5,0,usage,JAVA
285,EditLogTailer.java,"failover across a number of namenodes, rather than just between an active and a standby.",0,rational,JAVA
286,StructureGenerator.java,numoffiles #offiles the total number of files default is 10.,0,usage,JAVA
287,EditLogTailer.java,p,0,rational,JAVA
288,StructureGenerator.java,avgfilesize avgfilesizeinblocks average size of blocks default is 1.,0,expand;usage,JAVA
289,EditLogTailer.java,we lazily get a proxy to one of the configured namenodes and attempt to make the request,0,rational,JAVA
290,StructureGenerator.java,outdir outdir output directory default is the current directory.,0,expand;usage,JAVA
291,EditLogTailer.java,against it.,0,rational,JAVA
292,StructureGenerator.java,seed seed random number generator seed default is the current time.,0,usage,JAVA
293,EditLogTailer.java,"if it doesn t succeed, either because the proxy failed to be created or the request",0,rational,JAVA
294,StructureGenerator.java,in memory representation of a directory in memory representation of a file,0,usage,JAVA
295,EditLogTailer.java,"failed, we try the next nn in the list.",0,rational,JAVA
296,EditLogTailer.java,we try this up to the configuration maximum number of,0,rational,JAVA
297,EditLogTailer.java,retries before throwing up our hands.,0,rational,JAVA
298,EditLogTailer.java,a working proxy is retained across attempts since we,0,rational,JAVA
299,EditLogTailer.java,expect the active namenode to switch rarely.,0,rational,JAVA
300,EditLogTailer.java,p,0,rational,JAVA
301,EditLogTailer.java,this mechanism is b very bad b for cases where we care about being i fast i it just,0,rational,JAVA
302,EditLogTailer.java,blindly goes and tries namenodes.,0,rational,JAVA
303,SwiftBadRequestException.java,data locality can t be calculated if openstack swift version is old.,0,deprecation,JAVA
304,ErasureCodingPolicyManager.java,it loads customized policies and syncs with persisted ones in,0,expand,JAVA
305,ErasureCodingPolicyManager.java,namenode image.,0,expand,JAVA
306,ErasureCodingPolicyManager.java,this class is instantiated by the fsnamesystem.,0,pointer;usage,JAVA
307,SwiftRestClient.java,get the current operation statistics.,0,pointer,JAVA
308,SwiftRestClient.java,@return a snapshot of the statistics,0,pointer,JAVA
309,EventWatcher.java,event watcher will send the tracked payload event after a timeout period,0,rational,JAVA
310,SwiftRestClient.java,base class for all swift rest operations.,0,pointer,JAVA
311,EventWatcher.java,unless a confirmation from the original event completion event is arrived.,0,rational,JAVA
312,SwiftRestClient.java,@param m request,0,pointer,JAVA
313,EventWatcher.java,@param timeout payload the type of the events which are tracked.,0,pointer,JAVA
314,SwiftRestClient.java,@param r result,0,pointer,JAVA
315,EventWatcher.java,@param completion payload the type of event which could cancel the,0,pointer,JAVA
316,SwiftRestClient.java,get the current operation statistics.,0,pointer,JAVA
317,EventWatcher.java,tracking.,0,pointer,JAVA
318,SwiftRestClient.java,@return a snapshot of the statistics,0,pointer,JAVA
319,SwiftRestClient.java,get the current operation statistics.,0,pointer,JAVA
320,SwiftRestClient.java,@return a snapshot of the statistics,0,pointer,JAVA
321,SwiftRestClient.java,generate an auth message.,0,pointer,JAVA
322,SwiftRestClient.java,@param r response,0,pointer,JAVA
323,SwiftRestClient.java,get the current operation statistics.,0,pointer,JAVA
324,SwiftRestClient.java,@return a snapshot of the statistics,0,pointer,JAVA
325,SwiftRestClient.java,create operation.,0,pointer,JAVA
326,SwiftRestClient.java,get the current operation statistics.,0,pointer,JAVA
327,SwiftRestClient.java,@return a snapshot of the statistics,0,pointer,JAVA
328,SwiftRestClient.java,delete operation.,0,pointer,JAVA
329,FairOrderingPolicy.java,if,0,usage,JAVA
330,SwiftRestClient.java,@param r,0,pointer,JAVA
331,FairOrderingPolicy.java,sizedbasedweight is set to true then an application with high demand,0,usage,JAVA
332,FairOrderingPolicy.java,may be prioritized ahead of an application with less usage.,0,usage,JAVA
333,FairOrderingPolicy.java,this,0,usage,JAVA
334,FairOrderingPolicy.java,"is to offset the tendency to favor small apps, which could result in",0,usage,JAVA
335,FairOrderingPolicy.java,"continuously optional, default false",0,usage,JAVA
336,KVStore.java,kvstore instances are thread safe for both reads and writes.,0,expand,JAVA
337,KVStore.java,p,1,expand,JAVA
338,ChunkFetchSuccess.java,"similarly, the client side decoding will reuse the netty bytebuf as the buffer.",0,expand,JAVA
339,StreamHandle.java,this is used by @link org^apache.spark^network.shuffle^oneforoneblockfetcher .,1,pointer,JAVA
340,UploadBlockStream.java,the actual block data is not contained here.,0,expand,JAVA
341,UploadBlockStream.java,it will be passed to the streamcallbackwithid,1,expand,JAVA
342,UploadBlockStream.java,that is returned from rpchandler^receivestream,0,expand,JAVA
343,JavaRecord.java,java bean class to be used with the example javasqlnetworkwordcount.,1,usage,JAVA
344,JavaStreamingTestExample.java,"the rows of the text files must be in the form boolean, double .",0,expand,JAVA
345,JavaStreamingTestExample.java,for example,1,expand,JAVA
346,JavaStreamingTestExample.java,"false, 392",0,expand,JAVA
